customer_id,recency,frequency,monetary,total_quantity,unique_products,active_months,avg_order_value,avg_days_between_purchases,cancelled_orders,cancellation_rate,is_uk,churned
12346,235,12,77556.46,74285,27,5,6463.038333333334,36.36363636363637,5.0,0.29411764705882354,1,1
12347,39,6,3402.39,2099,107,6,567.0649999999999,54.8,0.0,0.0,0,0
12348,158,4,1388.3999999999999,2488,24,4,347.09999999999997,63.0,0.0,0.0,0,0
12349,317,2,2221.14,991,89,2,1110.57,181.0,1.0,0.3333333333333333,0,0
12350,219,1,294.40000000000003,196,16,1,294.40000000000003,219.0,0.0,0.0,0,1
12351,284,1,300.93,261,21,1,300.93,284.0,0.0,0.0,0,1
12352,171,6,985.3100000000001,437,36,3,164.21833333333333,26.0,3.0,0.3333333333333333,0,0
12353,113,2,406.76,212,23,2,203.38,204.0,0.0,0.0,0,1
12354,141,1,1079.4,530,58,1,1079.4,141.0,0.0,0.0,0,1
12355,123,2,947.61,543,35,2,473.805,353.0,0.0,0.0,0,1
12356,155,5,5553.38,3371,103,4,1110.676,44.75,0.0,0.0,0,0
12357,298,1,11229.99,3878,164,1,11229.99,298.0,0.0,0.0,0,0
12358,60,4,2923.8700000000003,924,55,4,730.9675000000001,193.66666666666666,0.0,0.0,0,0
12359,99,9,6059.09,2095,230,7,673.2322222222223,68.0,3.0,0.25,0,0
12360,22,5,2689.11,1955,122,5,537.822,135.75,1.0,0.16666666666666666,0,0
12361,196,4,451.25,231,17,4,112.8125,131.33333333333334,0.0,0.0,0,1
12362,29,4,1582.35,977,88,4,395.5875,58.333333333333336,2.0,0.3333333333333333,0,0
12363,19,2,552.0,408,23,2,276.0,132.0,0.0,0.0,0,1
12364,21,1,578.92,552,33,1,578.92,21.0,0.0,0.0,0,0
12365,200,1,320.69,173,21,1,320.69,200.0,1.0,0.5,0,1
12366,543,1,500.24,296,3,1,500.24,543.0,0.0,0.0,0,1
12368,537,1,917.7,330,18,1,917.7,537.0,0.0,0.0,0,1
12369,322,3,1511.15,1234,89,3,503.7166666666667,114.0,0.0,0.0,0,1
12370,184,6,3217.28,2215,149,4,536.2133333333334,78.8,0.0,0.0,0,0
12371,318,3,1819.42,836,90,2,606.4733333333334,117.5,0.0,0.0,0,0
12372,122,2,842.9200000000001,588,31,2,421.46000000000004,83.0,0.0,0.0,0,0
12373,220,3,927.6500000000001,511,35,3,309.2166666666667,181.0,0.0,0.0,0,1
12374,331,2,2046.29,1015,46,2,1023.145,166.0,0.0,0.0,0,0
12375,7,1,190.3,86,10,1,190.3,7.0,0.0,0.0,0,0
12376,299,2,383.15,237,10,2,191.575,28.0,0.0,0.0,0,1
12377,224,4,3266.32,2101,128,4,816.58,91.33333333333333,0.0,0.0,0,1
12378,39,2,5416.32,3316,281,2,2708.16,432.0,0.0,0.0,0,1
12379,79,3,1107.82,611,49,3,369.2733333333333,182.0,1.0,0.25,0,0
12380,95,5,5345.39,2494,123,4,1069.078,119.0,3.0,0.375,0,0
12381,29,1,1028.74,562,61,1,1028.74,29.0,1.0,0.5,0,0
12383,94,5,1628.56,1518,83,5,325.712,41.75,1.0,0.16666666666666666,0,1
12384,31,1,212.69,60,13,1,212.69,31.0,0.0,0.0,0,0
12385,288,1,1668.4,594,64,1,1668.4,288.0,1.0,0.5,0,1
12386,247,2,401.9,354,10,2,200.95,29.0,0.0,0.0,0,1
12387,324,1,143.94,134,9,1,143.94,324.0,0.0,0.0,0,1
12388,57,6,2788.79,1299,77,6,464.79833333333335,86.8,0.0,0.0,0,0
12389,312,3,1433.33,614,41,3,477.77666666666664,126.5,0.0,0.0,0,1
12391,374,5,2285.18,911,159,3,457.03599999999994,49.5,1.0,0.16666666666666666,0,0
12392,500,1,234.75000000000003,73,7,1,234.75000000000003,500.0,0.0,0.0,0,1
12393,155,5,1877.95,1017,53,4,375.59000000000003,45.5,1.0,0.16666666666666666,0,0
12394,126,1,351.08,180,20,1,351.08,126.0,0.0,0.0,0,0
12395,21,11,3233.11,2693,121,9,293.9190909090909,49.0,2.0,0.15384615384615385,0,0
12396,583,1,931.4300000000001,591,65,1,931.4300000000001,583.0,0.0,0.0,0,1
12397,44,1,1109.81,697,69,1,1109.81,44.0,0.0,0.0,0,0
12399,28,7,1842.3,2190,66,7,263.18571428571425,87.5,0.0,0.0,0,1
12400,323,1,205.25,91,11,1,205.25,323.0,0.0,0.0,0,1
12401,212,1,69.3,10,4,1,69.3,212.0,0.0,0.0,0,1
12402,232,6,1136.9,576,42,6,189.48333333333335,69.4,1.0,0.14285714285714285,0,1
12403,431,1,555.6600000000001,162,3,1,555.6600000000001,431.0,0.0,0.0,0,0
12405,58,1,1390.39,849,53,1,1390.39,58.0,0.0,0.0,0,1
12406,93,4,4596.31,2391,81,4,1149.0775,171.0,2.0,0.3333333333333333,0,0
12407,43,4,1242.36,1226,49,3,310.59,43.333333333333336,0.0,0.0,0,0
12408,8,7,3226.27,1840,89,6,460.8957142857143,66.5,5.0,0.4166666666666667,0,0
12409,92,5,18553.7,10734,165,5,3710.7400000000002,95.5,3.0,0.375,0,0
12410,218,3,773.71,335,35,2,257.90333333333336,96.5,1.0,0.25,0,1
12411,319,1,346.9,138,22,1,346.9,319.0,0.0,0.0,0,1
12412,47,5,2098.79,1758,73,5,419.758,100.25,2.0,0.2857142857142857,0,0
12413,145,3,695.25,233,36,3,231.75,83.0,2.0,0.4,0,0
12414,126,4,532.41,489,19,4,133.1025,82.0,2.0,0.3333333333333333,0,1
12415,8,18,121206.72,80770,436,12,6733.706666666667,25.176470588235293,3.0,0.14285714285714285,0,0
12416,566,1,202.56,132,11,1,202.56,566.0,0.0,0.0,0,1
12417,16,18,5255.83,2518,251,14,291.99055555555555,36.8235294117647,6.0,0.25,0,0
12418,22,4,2021.2,1088,90,4,505.3,172.33333333333334,1.0,0.2,0,1
12419,295,2,391.01,227,22,2,195.505,27.0,0.0,0.0,0,1
12421,24,5,724.12,568,37,5,144.824,97.5,2.0,0.2857142857142857,0,0
12422,5,12,3639.35,2579,135,11,303.27916666666664,56.81818181818182,4.0,0.25,0,1
12423,10,9,2107.75,1570,118,9,234.19444444444446,45.5,1.0,0.1,0,0
12424,72,4,3340.0299999999997,2025,78,3,835.0074999999999,128.33333333333334,3.0,0.42857142857142855,0,1
12425,357,1,964.21,651,55,1,964.21,357.0,1.0,0.5,0,0
12426,104,2,1201.21,576,72,2,600.605,468.0,1.0,0.3333333333333333,0,1
12427,281,1,249.5,76,9,1,249.5,281.0,1.0,0.5,0,0
12428,29,7,6076.92,3361,250,4,868.1314285714286,27.166666666666668,3.0,0.3,0,0
12429,82,7,4936.89,2359,106,5,705.2700000000001,62.166666666666664,1.0,0.125,0,0
12431,28,21,8519.34,3782,219,14,405.68285714285713,28.7,6.0,0.2222222222222222,0,0
12432,81,2,3316.66,1426,74,1,1658.33,0.0,0.0,0.0,0,0
12433,0,6,9813.5,7894,227,5,1635.5833333333333,77.0,1.0,0.14285714285714285,0,0
12434,169,2,583.54,215,34,2,291.77,120.0,2.0,0.5,0,0
12435,177,5,10075.03,3782,81,5,2015.006,117.25,0.0,0.0,0,0
12436,9,1,429.01,209,15,1,429.01,9.0,0.0,0.0,0,1
12437,7,31,9340.4,6808,229,17,301.3032258064516,21.266666666666666,8.0,0.20512820512820512,0,0
12438,49,1,770.0699999999999,583,48,1,770.0699999999999,49.0,0.0,0.0,0,0
12439,592,2,1142.88,478,69,2,571.44,43.0,1.0,0.3333333333333333,0,1
12440,371,2,739.2,328,20,2,369.6,255.0,1.0,0.3333333333333333,0,1
12441,276,1,155.55,120,10,1,155.55,276.0,0.0,0.0,0,1
12443,641,1,365.31,179,20,1,365.31,641.0,0.0,0.0,0,1
12444,31,2,2347.27,643,95,2,1173.635,49.0,0.0,0.0,0,0
12445,330,1,301.58000000000004,144,20,1,301.58000000000004,330.0,1.0,0.5,0,0
12447,152,1,431.49,187,25,1,431.49,152.0,0.0,0.0,0,1
12449,1,4,3058.18,1730,92,4,764.545,115.33333333333333,0.0,0.0,0,0
12450,65,5,688.2,442,31,5,137.64000000000001,79.5,2.0,0.2857142857142857,0,1
12451,127,5,8942.18,6889,259,4,1788.4360000000001,77.75,2.0,0.2857142857142857,0,0
12453,43,1,707.09,473,43,1,707.09,43.0,0.0,0.0,0,1
12454,305,3,12931.44,6696,8,2,4310.4800000000005,12.5,3.0,0.5,0,0
12455,37,8,5460.45,2973,180,8,682.55625,84.71428571428571,0.0,0.0,0,0
12456,40,2,1825.4,1062,76,2,912.7,123.0,1.0,0.3333333333333333,0,0
12457,143,4,1419.93,641,36,2,354.9825,67.0,4.0,0.5,0,0
12458,194,3,1077.01,745,57,3,359.00333333333333,101.5,0.0,0.0,0,0
12459,514,1,398.36,256,22,1,398.36,514.0,0.0,0.0,0,1
12460,365,1,296.65,168,17,1,296.65,365.0,0.0,0.0,0,1
12461,64,1,626.88,282,34,1,626.88,64.0,0.0,0.0,0,1
12462,212,1,594.11,281,39,1,594.11,212.0,1.0,0.5,0,0
12463,84,3,877.79,571,50,3,292.59666666666664,33.0,2.0,0.4,0,0
12464,15,6,615.55,70,5,4,102.59166666666665,40.6,0.0,0.0,0,0
12465,78,1,410.94,292,25,1,410.94,78.0,0.0,0.0,0,0
12467,332,1,132.8,129,9,1,132.8,332.0,1.0,0.5,0,1
12468,97,5,3238.7400000000002,2177,126,5,647.748,123.75,5.0,0.5,0,1
12469,432,2,3070.54,2552,76,2,1535.27,14.0,0.0,0.0,0,1
12470,599,1,211.95,95,23,1,211.95,599.0,0.0,0.0,0,1
12471,16,61,27376.25,12782,210,19,448.7909836065574,10.416666666666666,46.0,0.42990654205607476,0,0
12472,48,17,13452.78,9254,366,14,791.34,36.6875,16.0,0.48484848484848486,0,0
12473,24,2,1013.75,844,59,2,506.875,77.0,2.0,0.5,0,0
12474,8,24,8600.72,5860,284,15,358.3633333333333,24.695652173913043,19.0,0.4418604651162791,0,0
12475,319,1,396.26,234,24,1,396.26,319.0,0.0,0.0,0,0
12476,50,13,9109.16,4280,291,10,700.7046153846154,30.0,12.0,0.48,0,0
12477,10,6,15890.66,4984,276,6,2648.443333333333,104.4,3.0,0.3333333333333333,0,0
12480,52,6,3842.17,2314,145,6,640.3616666666667,72.8,1.0,0.14285714285714285,0,0
12481,89,12,9700.95,6176,212,9,808.4125,38.81818181818182,3.0,0.2,0,0
12482,485,27,21941.72,27040,41,3,812.6562962962963,2.9615384615384617,3.0,0.1,0,1
12483,8,17,3448.26,1819,59,12,202.83882352941177,36.125,6.0,0.2608695652173913,0,0
12484,12,8,4828.43,2912,295,7,603.55375,82.42857142857143,3.0,0.2727272727272727,0,0
12485,438,1,708.1,414,34,1,708.1,438.0,0.0,0.0,0,1
12486,341,1,917.28,520,48,1,917.28,341.0,0.0,0.0,0,1
12487,640,1,285.3,174,2,1,285.3,640.0,1.0,0.5,0,1
12489,245,1,298.93,103,14,1,298.93,245.0,0.0,0.0,0,1
12490,2,16,7115.3,4807,170,15,444.70625,43.0,1.0,0.058823529411764705,0,0
12492,14,2,488.39000000000004,316,29,2,244.19500000000002,297.0,0.0,0.0,0,0
12493,75,2,415.74,206,19,2,207.87,31.0,1.0,0.3333333333333333,0,1
12494,71,7,1240.03,625,61,6,177.14714285714285,69.0,7.0,0.5,0,0
12495,550,1,277.4,128,16,1,277.4,550.0,1.0,0.5,0,1
12496,529,2,45.34,30,10,1,22.67,0.0,0.0,0.0,0,1
12497,310,2,5043.400000000001,4440,29,2,2521.7000000000003,244.0,1.0,0.3333333333333333,0,0
12499,469,1,357.72,300,26,1,357.72,469.0,0.0,0.0,0,1
12500,16,13,3147.23,1951,74,10,242.0946153846154,47.166666666666664,4.0,0.23529411764705882,0,0
12501,246,1,2025.39,1775,148,1,2025.39,246.0,1.0,0.5,0,1
12502,5,5,2995.87,794,101,5,599.174,53.5,0.0,0.0,0,1
12503,493,1,896.0,560,1,1,896.0,493.0,1.0,0.5,0,1
12504,326,2,261.0,366,7,2,130.5,179.0,0.0,0.0,0,0
12505,318,1,787.2,318,41,1,787.2,318.0,2.0,0.6666666666666666,0,1
12506,142,1,73.5,23,23,1,73.5,142.0,0.0,0.0,0,1
12507,43,4,1508.06,1244,45,3,377.015,150.0,1.0,0.2,0,1
12509,193,1,158.5,54,6,1,158.5,193.0,0.0,0.0,0,1
12510,52,7,3039.03,2021,92,7,434.1471428571429,98.66666666666667,7.0,0.5,0,1
12511,338,1,3084.02,1753,190,1,3084.02,338.0,1.0,0.5,0,1
12513,22,1,558.29,459,34,1,558.29,22.0,0.0,0.0,0,1
12514,176,2,1597.76,840,76,2,798.88,374.0,0.0,0.0,0,1
12515,262,1,278.7,128,15,1,278.7,262.0,0.0,0.0,0,1
12516,90,3,1631.76,1406,41,3,543.92,209.0,0.0,0.0,0,0
12517,35,2,1431.45,829,172,2,715.725,63.0,0.0,0.0,0,0
12518,19,1,288.83,185,17,1,288.83,19.0,0.0,0.0,0,0
12519,386,1,349.7,210,21,1,349.7,386.0,1.0,0.5,0,0
12520,51,4,1829.85,1087,103,3,457.4625,43.666666666666664,1.0,0.2,0,0
12521,52,1,545.68,306,37,1,545.68,52.0,0.0,0.0,0,1
12523,17,19,3238.33,1939,143,15,170.43842105263158,34.666666666666664,5.0,0.20833333333333334,0,0
12524,71,15,8592.87,5704,137,11,572.8580000000001,36.214285714285715,1.0,0.0625,0,0
12525,407,3,883.73,504,55,3,294.57666666666665,74.5,5.0,0.625,0,1
12526,3,1,484.3,316,28,1,484.3,3.0,0.0,0.0,0,0
