year_month,monthly_revenue,order_count
2009-12,822483.95,1929
2010-01,651155.11,1333
2010-02,551504.73,1729
2010-03,830915.26,1960
2010-04,678875.25,1587
2010-05,657705.5,2011
2010-06,749537.31,1859
2010-07,648810.27,1672
2010-08,695251.91,1604
2010-09,921696.99,2004
2010-10,1161902.22,2488
2010-11,1464293.14,3093
2010-12,821452.73,1699
2011-01,689811.61,1216
2011-02,522545.56,1174
2011-03,716215.26,1665
2011-04,536968.49,1504
2011-05,769296.61,1848
2011-06,760547.01,1683
2011-07,718076.12,1657
2011-08,746779.32,1456
2011-09,1056435.19,1994
2011-10,1151263.73,2275
2011-11,1503866.78,3021
2011-12,637808.33,869
