source_stock_code,source_description,stock_code,description,similarity
85123A,WHITE HANGING HEART T-LIGHT HOLDER,21733,RED HANGING HEART T-LIGHT HOLDER,0.6009218587124835
85123A,WHITE HANGING HEART T-LIGHT HOLDER,22470,HEART OF WICKER LARGE,0.46303938939439315
85123A,WHITE HANGING HEART T-LIGHT HOLDER,22804,CANDLEHOLDER PINK HANGING HEART,0.4500081694532274
85123A,WHITE HANGING HEART T-LIGHT HOLDER,22469,HEART OF WICKER SMALL,0.44447149148664583
85123A,WHITE HANGING HEART T-LIGHT HOLDER,22189,CREAM HEART CARD HOLDER,0.4157019962613417
22423,REGENCY CAKESTAND 3 TIER,22699,ROSES REGENCY TEACUP AND SAUCER ,0.5061586249638194
22423,REGENCY CAKESTAND 3 TIER,22697,GREEN REGENCY TEACUP AND SAUCER,0.4851164817574834
22423,REGENCY CAKESTAND 3 TIER,22698,PINK REGENCY TEACUP AND SAUCER,0.46246372764412563
22423,REGENCY CAKESTAND 3 TIER,23245,SET OF 3 REGENCY CAKE TINS,0.4219084259303945
22423,REGENCY CAKESTAND 3 TIER,21843,RED RETROSPOT CAKE STAND,0.3842144877207641
85099B,JUMBO BAG RED RETROSPOT,22386,JUMBO BAG PINK POLKADOT,0.6065432446963459
85099B,JUMBO BAG RED RETROSPOT,85099F,JUMBO BAG STRAWBERRY,0.6003459769935214
85099B,JUMBO BAG RED RETROSPOT,85099C,JUMBO  BAG BAROQUE BLACK WHITE,0.5458840109841069
85099B,JUMBO BAG RED RETROSPOT,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.5351420970931013
85099B,JUMBO BAG RED RETROSPOT,21929,JUMBO BAG PINK VINTAGE PAISLEY,0.5327623032887476
84879,ASSORTED COLOUR BIRD ORNAMENT,21136,PAINTED METAL PEARS ASSORTED,0.5330025470266562
84879,ASSORTED COLOUR BIRD ORNAMENT,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.36622996376787237
84879,ASSORTED COLOUR BIRD ORNAMENT,22423,REGENCY CAKESTAND 3 TIER,0.3595370784296683
84879,ASSORTED COLOUR BIRD ORNAMENT,22585,PACK OF 6 BIRDY GIFT TAGS,0.35725505169306165
84879,ASSORTED COLOUR BIRD ORNAMENT,84836,ZINC METAL HEART DECORATION,0.3530018835776072
20725,LUNCH BAG RED RETROSPOT,22384,LUNCH BAG PINK POLKADOT,0.6459429604282062
20725,LUNCH BAG RED RETROSPOT,22382,LUNCH BAG SPACEBOY DESIGN ,0.6303261559238514
20725,LUNCH BAG RED RETROSPOT,20728,LUNCH BAG CARS BLUE,0.6197706638998067
20725,LUNCH BAG RED RETROSPOT,20727,LUNCH BAG  BLACK SKULL.,0.6188884276320668
20725,LUNCH BAG RED RETROSPOT,22383,LUNCH BAG SUKI  DESIGN ,0.5940836727938013
21212,PACK OF 72 RETROSPOT CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.5841891442975884
21212,PACK OF 72 RETROSPOT CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,0.5778919264518787
21212,PACK OF 72 RETROSPOT CAKE CASES,21975,PACK OF 60 DINOSAUR CAKE CASES,0.514775361955145
21212,PACK OF 72 RETROSPOT CAKE CASES,21213,PACK OF 72 SKULL CAKE CASES,0.5124281667524496
21212,PACK OF 72 RETROSPOT CAKE CASES,22417,PACK OF 60 SPACEBOY CAKE CASES,0.5066707667081854
47566,PARTY BUNTING,23298,SPOTTY BUNTING,0.44478974424767753
47566,PARTY BUNTING,47566B,TEA TIME PARTY BUNTING,0.39103532181712436
47566,PARTY BUNTING,22423,REGENCY CAKESTAND 3 TIER,0.379153338620011
47566,PARTY BUNTING,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.34908282751011477
47566,PARTY BUNTING,21621,VINTAGE UNION JACK BUNTING,0.3441727433877988
20727,LUNCH BAG  BLACK SKULL.,22384,LUNCH BAG PINK POLKADOT,0.6272468818576292
20727,LUNCH BAG  BLACK SKULL.,20725,LUNCH BAG RED RETROSPOT,0.6188884276320668
20727,LUNCH BAG  BLACK SKULL.,22383,LUNCH BAG SUKI  DESIGN ,0.603025272839042
20727,LUNCH BAG  BLACK SKULL.,22382,LUNCH BAG SPACEBOY DESIGN ,0.6011554737002623
20727,LUNCH BAG  BLACK SKULL.,20728,LUNCH BAG CARS BLUE,0.5555561192242772
22383,LUNCH BAG SUKI  DESIGN ,22382,LUNCH BAG SPACEBOY DESIGN ,0.6668828445700735
22383,LUNCH BAG SUKI  DESIGN ,20728,LUNCH BAG CARS BLUE,0.6214737763656163
22383,LUNCH BAG SUKI  DESIGN ,20727,LUNCH BAG  BLACK SKULL.,0.603025272839042
22383,LUNCH BAG SUKI  DESIGN ,20725,LUNCH BAG RED RETROSPOT,0.5940836727938013
22383,LUNCH BAG SUKI  DESIGN ,22384,LUNCH BAG PINK POLKADOT,0.590381732462396
21034,REX CASH+CARRY JUMBO SHOPPER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.3124210960198696
21034,REX CASH+CARRY JUMBO SHOPPER,22470,HEART OF WICKER LARGE,0.3118181114072886
21034,REX CASH+CARRY JUMBO SHOPPER,22469,HEART OF WICKER SMALL,0.2891746722040065
21034,REX CASH+CARRY JUMBO SHOPPER,22082,RIBBON REEL STRIPES DESIGN ,0.2849097074605724
21034,REX CASH+CARRY JUMBO SHOPPER,22866,HAND WARMER SCOTTY DOG DESIGN,0.2787543017448318
22382,LUNCH BAG SPACEBOY DESIGN ,22383,LUNCH BAG SUKI  DESIGN ,0.6668828445700735
22382,LUNCH BAG SPACEBOY DESIGN ,20726,LUNCH BAG WOODLAND,0.6315930217326968
22382,LUNCH BAG SPACEBOY DESIGN ,20725,LUNCH BAG RED RETROSPOT,0.6303261559238514
22382,LUNCH BAG SPACEBOY DESIGN ,22384,LUNCH BAG PINK POLKADOT,0.6230588920350295
22382,LUNCH BAG SPACEBOY DESIGN ,20728,LUNCH BAG CARS BLUE,0.6127626533203976
21232,STRAWBERRY CERAMIC TRINKET BOX,21231,SWEETHEART CERAMIC TRINKET BOX,0.6949400628558481
21232,STRAWBERRY CERAMIC TRINKET BOX,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,0.4463906833791012
21232,STRAWBERRY CERAMIC TRINKET BOX,22064,PINK DOUGHNUT TRINKET POT ,0.4054897108228023
21232,STRAWBERRY CERAMIC TRINKET BOX,22649,STRAWBERRY FAIRY CAKE TEAPOT,0.3995624428954681
21232,STRAWBERRY CERAMIC TRINKET BOX,22644,CERAMIC CHERRY CAKE MONEY BANK,0.38978143724401465
22384,LUNCH BAG PINK POLKADOT,20728,LUNCH BAG CARS BLUE,0.6541929655024363
22384,LUNCH BAG PINK POLKADOT,20725,LUNCH BAG RED RETROSPOT,0.6459429604282062
22384,LUNCH BAG PINK POLKADOT,20727,LUNCH BAG  BLACK SKULL.,0.6272468818576292
22384,LUNCH BAG PINK POLKADOT,22382,LUNCH BAG SPACEBOY DESIGN ,0.6230588920350295
22384,LUNCH BAG PINK POLKADOT,22383,LUNCH BAG SUKI  DESIGN ,0.590381732462396
21754,HOME BUILDING BLOCK WORD,21755,LOVE BUILDING BLOCK WORD,0.6463932496981981
21754,HOME BUILDING BLOCK WORD,21756,BATH BUILDING BLOCK WORD,0.5590335379891167
21754,HOME BUILDING BLOCK WORD,22120,WELCOME  WOODEN BLOCK LETTERS,0.4376226177528488
21754,HOME BUILDING BLOCK WORD,22121,NOEL WOODEN BLOCK LETTERS ,0.420860055809881
21754,HOME BUILDING BLOCK WORD,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.3784629616777008
22139,RETROSPOT TEA SET CERAMIC 11 PC ,22138,BAKING SET 9 PIECE RETROSPOT ,0.48217798856185573
22139,RETROSPOT TEA SET CERAMIC 11 PC ,22617,BAKING SET SPACEBOY DESIGN,0.341345166837569
