week_start,actual_revenue,predicted_revenue,naive_prediction
2011-08-22,164484.13,157861.6029555316,175570.68
2011-08-29,153830.63,156688.59447082513,164484.13
2011-09-05,191912.07,155539.27761927273,153830.63
2011-09-12,229688.16,175883.2945530312,191912.07
2011-09-19,338294.081,312468.1855165672,229688.16
2011-09-26,211446.801,322431.3296581507,338294.081
2011-10-03,319084.77,130250.78441576877,211446.801
2011-10-10,228037.07,329411.4753258446,319084.77
2011-10-17,275970.35,264303.19185609475,228037.07
2011-10-24,259312.53,336335.6770521168,275970.35
2011-10-31,300643.08,334951.3711117037,259312.53
2011-11-07,368996.32,348728.53635710216,300643.08
2011-11-14,387064.65,282584.9091700807,368996.32
2011-11-21,315114.06,299997.22491670866,387064.65
2011-11-28,323398.7,307012.04484048224,315114.06
