customer_id,country,total_revenue,order_count
18102,United Kingdom,580987.04,145
14646,Netherlands,528602.52,152
14156,EIRE,313437.62,156
14911,EIRE,291420.81,398
17450,United Kingdom,244784.25,51
13694,United Kingdom,195640.69,143
17511,United Kingdom,172132.87,60
16446,United Kingdom,168472.5,2
16684,United Kingdom,147142.77,55
12415,Australia,144458.37,28
15061,United Kingdom,126389.02,127
16029,United Kingdom,117763.62,107
17949,United Kingdom,117314.08,118
15311,United Kingdom,114966.42,208
13089,United Kingdom,113416.91,203
12931,United Kingdom,92347.34,57
14298,United Kingdom,91194.49,82
15769,United Kingdom,88612.52,46
12346,United Kingdom,77556.46,12
13798,United Kingdom,75428.87,110
