stock_code,description,total_units_sold
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,106250
85123A,WHITE HANGING HEART T-LIGHT HOLDER,94147
23843,"PAPER CRAFT , LITTLE BIRDIE",80995
84879,ASSORTED COLOUR BIRD ORNAMENT,80090
23166,MEDIUM CERAMIC TOP STORAGE JAR,78033
85099B,JUMBO BAG RED RETROSPOT,77286
17003,BROCADE RING PURSE ,70379
21977,PACK OF 60 PINK PAISLEY CAKE CASES,56061
84991,60 TEATIME FAIRY CAKE CASES,54028
22197,SMALL POPCORN HOLDER,49055
21212,PACK OF 72 RETROSPOT CAKE CASES,48156
21212,PACK OF 72 RETRO SPOT CAKE CASES,46728
15036,ASSORTED COLOURS SILK FAN,44392
22492,MINI PAINT SET VINTAGE ,42286
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,40439
