stock_code,description,total_revenue
M,Manual,339226.24
22423,REGENCY CAKESTAND 3 TIER,330590.32
DOT,DOTCOM POSTAGE,309854.11
85123A,WHITE HANGING HEART T-LIGHT HOLDER,257546.2
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6
47566,PARTY BUNTING,148318.28
85099B,JUMBO BAG RED RETROSPOT,145961.83
84879,ASSORTED COLOUR BIRD ORNAMENT,129324.49
POST,POSTAGE,125682.42
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,117760.29
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92
79321,CHILLI LIGHTS,80540.88
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,71300.4
85099F,JUMBO BAG STRAWBERRY,67985.77
23084,RABBIT NIGHT LIGHT,66870.03
